Siruta,Localitate,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica
95159,Holboca,421.8703479779659,422.5576380491737,12.874378610775224,92.41434905280128,0.0,0.0,0.0,0.0,0.0
152500,Cervenia,234.59850289214017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103354,Gostinu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62397,Oras Negru Voda,0.9141030072589008,0.0,18.373142067058417,0.0,0.0,10.810404424472866,0.0,0.0,0.0
37823,Ibanesti,16.941146881287725,22.22585513078471,0.0,0.0,0.0,0.0,0.0,57.73013078470825,0.0
111550,Darvari,0.0,0.0,144.3831990794016,0.0,0.0,0.0,0.0,0.0,0.0
46019,Cernatesti,28.02980665950591,7.557465091299678,36.24301825993555,0.0,0.0,0.0,0.0,110.9828141783029,0.0
127938,Orlea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136134,Varbilau,0.0,0.0,324.1450370585671,698.3551809330039,0.0,0.0,0.0,0.0,0.0
119750,Saulia,2.9136760426770127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103372,Gostinari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21454,Barsanesti,0.0,3.542372881355932,46.58867300537412,0.0,0.0,0.0,0.0,0.0,0.0
86990,Municipiul Petrosani,365.5531594900391,166.34949906291214,240.2035910132118,0.0,0.0,360.4659756125778,85.81207339364632,41.569795691709665,15649.54015594993
177101,Paltin,0.0,0.0,1648.5985472154964,0.0,0.0,0.0,0.0,0.0,0.0
152528,Ciolanesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160724,Mahmudia,299.30301927973807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37850,Leorda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13276,Bradu,262.77897329530725,28.681488203266788,515.5893181228935,31.190821882291935,88.36193933108633,0.0,0.0,189384.74837956962,0.0
29662,Husasau De Tinca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144349,Brateiu,0.0,0.0,0.0,0.0,0.0,763.7184321508311,0.0,0.0,0.0
111587,Dumbrava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62440,Nicolae Balcescu,619.1041439476554,0.0,0.6597600872410033,0.0,0.0,0.0,0.0,0.0,0.0
70637,Amarastii De Jos,75.00339892665474,0.0,4.507513416815742,0.0,0.0,0.0,0.0,0.0,0.0
78828,Barbatesti,871.8684369342185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103407,Gradinari,0.0,0.0,402.8268702290076,0.0,0.0,0.0,0.0,0.0,0.0
127983,Osica De Sus,84.03989195927696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5103,Jidvei,0.513844415144095,14.04256922207572,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13301,Oras Mioveni,44.33397957116815,0.4036575132382303,32.75818166034897,0.0,0.0,585851.199745363,0.02222286524494343,56.445093897392866,84.18264417373187
152564,Contesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119803,Sincai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
